(997, 997, (0, 1))
(440, 440, (1, 1))
(66, 66, (2, 1))
(64, 64, (0, 2))
(66, 66, (3, 1))
(64, 64, (2, 2))
(998, 998, (2, 3))
(64, 64, (2, 4))
(64, 64, (3, 2))
(541, 541, (3, 3))
(64, 64, (2, 5))
(64, 64, (3, 4))
(66, 66, (4, 1))
(66, 66, (5, 1))
(64, 64, (4, 2))
(231, 231, (4, 3))
(64, 64, (5, 2))
(1484, 1484, (5, 3))
(345, 345, (5, 4))
(64, 64, (4, 4))
(329, 329, (4, 5))
(280, 280, (5, 5))
(99, 99, (5, 6))
(64, 64, (5, 7))
(64, 64, (4, 6))
(66, 66, (6, 1))
(440, 440, (5, 8))
(1484, 1484, (5, 9))
(100, 100, (5, 10))
(64, 64, (4, 7))
(1484, 1484, (5, 11))
(1085, 1085, (5, 12))
(64, 64, (4, 8))
(1484, 1484, (5, 13))
(100, 100, (5, 14))
(64, 64, (4, 9))
(1484, 1484, (5, 15))
(684, 684, (5, 16))
(64, 64, (4, 10))
(1484, 1484, (5, 17))
(1484, 1484, (5, 18))
(198, 198, (5, 19))
(64, 64, (4, 11))
(863, 863, (5, 20))
(64, 64, (7, 1))
(64, 64, (6, 2))
(515, 515, (6, 3))
(303, 303, (4, 12))
(1484, 1484, (5, 21))
(1484, 1484, (5, 22))
(173, 173, (5, 23))
(64, 64, (4, 13))
(1484, 1484, (5, 24))
(1484, 1484, (5, 25))
(64, 64, (4, 14))
(1391, 1391, (5, 26))
(1484, 1484, (5, 27))
(1484, 1484, (5, 28))
(131, 131, (5, 29))
(64, 64, (4, 15))
(1298, 1298, (5, 30))
(135, 135, (5, 31))
(64, 64, (4, 16))
(87, 87, (5, 32))
(999, 999, (0, 3))
(350, 350, (7, 2))
(523, 523, (1, 2))
(64, 64, (5, 33))
(66, 66, (8, 1))
(64, 64, (5, 34))
(64, 64, (9, 1))
(64, 64, (8, 2))
(653, 653, (8, 3))
(1514, 1514, (9, 2))
(1514, 1514, (9, 3))
(64, 64, (8, 4))
(1514, 1514, (9, 4))
(1514, 1514, (9, 5))
(64, 64, (8, 5))
(1514, 1514, (9, 6))
(1514, 1514, (9, 7))
(1514, 1514, (9, 8))
(64, 64, (8, 6))
(1514, 1514, (9, 9))
(1514, 1514, (9, 10))
(64, 64, (8, 7))
(1514, 1514, (9, 11))
(1514, 1514, (9, 12))
(1514, 1514, (9, 13))
(64, 64, (8, 8))
(1514, 1514, (9, 14))
(1514, 1514, (9, 15))
(1514, 1514, (9, 16))
(1455, 1455, (9, 17))
(64, 64, (8, 9))
(132, 132, (5, 35))
(1369, 1369, (5, 36))
(64, 64, (4, 17))
(66, 66, (10, 1))
(64, 64, (6, 4))
(113, 113, (5, 37))
(845, 845, (5, 38))
(64, 64, (4, 18))
(64, 64, (11, 1))
(64, 64, (10, 2))
(502, 502, (10, 3))
(333, 333, (11, 2))
(64, 64, (10, 4))
(64, 64, (10, 5))
(66, 66, (12, 1))
(64, 64, (0, 4))
(120, 120, (4, 19))
(64, 64, (11, 3))
(66, 66, (13, 1))
(66, 66, (14, 1))
(66, 66, (15, 1))
(64, 64, (12, 2))
(1107, 1107, (12, 3))
(64, 64, (5, 39))
(309, 309, (4, 20))
(64, 64, (16, 1))
(64, 64, (13, 2))
(701, 701, (13, 3))
(64, 64, (5, 40))
(1066, 1066, (16, 2))
(734, 734, (15, 2))
(64, 64, (17, 1))
(64, 64, (14, 2))
(632, 632, (14, 3))
(176, 176, (5, 41))
(87, 87, (5, 42))
(64, 64, (4, 21))
(66, 66, (18, 1))
(64, 64, (19, 1))
(64, 64, (18, 2))
(703, 703, (18, 3))
(1066, 1066, (19, 2))
(110, 110, (5, 43))
(514, 514, (5, 44))
(64, 64, (4, 22))
(66, 66, (20, 1))
(66, 66, (21, 1))
(66, 66, (22, 1))
(64, 64, (20, 2))
(565, 565, (20, 3))
(64, 64, (22, 2))
(576, 576, (22, 3))
(66, 66, (23, 1))
(64, 64, (21, 2))
(758, 758, (21, 3))
(465, 465, (17, 2))
(64, 64, (23, 2))
(576, 576, (23, 3))
(66, 66, (24, 1))
(64, 64, (13, 4))
(64, 64, (12, 4))
(64, 64, (25, 1))
(64, 64, (24, 2))
(703, 703, (24, 3))
(1360, 1360, (25, 2))
(64, 64, (18, 4))
(66, 66, (26, 1))
(66, 66, (27, 1))
(64, 64, (26, 2))
(451, 451, (26, 3))
(1514, 1514, (27, 2))
(1514, 1514, (27, 3))
(64, 64, (26, 4))
(64, 64, (14, 4))
(64, 64, (20, 4))
(373, 373, (27, 4))
(64, 64, (21, 4))
(66, 66, (28, 1))
(64, 64, (24, 4))
(64, 64, (29, 1))
(64, 64, (28, 2))
(569, 569, (28, 3))
(64, 64, (26, 5))
(678, 678, (29, 2))
(1005, 1005, (0, 5))
(533, 533, (1, 3))
(66, 66, (30, 1))
(64, 64, (31, 1))
(64, 64, (30, 2))
(694, 694, (30, 3))
(64, 64, (28, 4))
(1514, 1514, (31, 2))
(1514, 1514, (31, 3))
(1336, 1336, (31, 4))
(64, 64, (30, 4))
(701, 701, (13, 5))
(64, 64, (0, 6))
(931, 931, (16, 3))
(64, 64, (13, 6))
(66, 66, (32, 1))
(66, 66, (33, 1))
(64, 64, (32, 2))
(1423, 1423, (32, 3))
(333, 333, (32, 4))
(64, 64, (33, 2))
(64, 64, (33, 3))
(66, 66, (34, 1))
(640, 640, (8, 10))
(356, 356, (33, 4))
(1134, 1134, (35, 1))
(64, 64, (36, 1))
(64, 64, (34, 2))
(606, 606, (34, 3))
(797, 797, (9, 18))
(64, 64, (37, 1))
(1246, 1246, (37, 2))
(1484, 1484, (37, 3))
(1484, 1484, (37, 4))
(774, 774, (37, 5))
(64, 64, (35, 2))
(909, 909, (36, 2))
(706, 706, (8, 11))
(64, 64, (8, 12))
(480, 480, (9, 19))
(64, 64, (8, 13))
(452, 452, (26, 6))
(66, 66, (38, 1))
(66, 66, (39, 1))
(1202, 1202, (12, 5))
(717, 717, (34, 4))
(1125, 1125, (27, 5))
(64, 64, (40, 1))
(64, 64, (38, 2))
(584, 584, (38, 3))
(66, 66, (41, 1))
(64, 64, (39, 2))
(442, 442, (39, 3))
(480, 480, (36, 3))
(264, 264, (40, 2))
(1514, 1514, (41, 2))
(1514, 1514, (41, 3))
(1514, 1514, (41, 4))
(64, 64, (39, 4))
(631, 631, (15, 3))
(1484, 1484, (37, 6))
(1484, 1484, (37, 7))
(64, 64, (35, 3))
(1514, 1514, (41, 5))
(917, 917, (37, 8))
(1514, 1514, (41, 6))
(64, 64, (39, 5))
(1514, 1514, (41, 7))
(1514, 1514, (41, 8))
(64, 64, (39, 6))
(1514, 1514, (41, 9))
(1514, 1514, (41, 10))
(64, 64, (39, 7))
(1401, 1401, (37, 9))
(64, 64, (35, 4))
